passer_name,team_name,n_passes,mean_tiv,total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,circulatory,destabilising,line_breaking,space_expanding,dominant_pass_type,player_label
Theo Hernandez,France,221,0.06545857060383399,14.466344103447312,2.0316742081447963,0.9602881121305694,20.602062265939953,0.06787330316742081,0.03167420814479638,0.07692307692307693,0.013574660633484163,0.35294117647058826,0.23076923076923078,0.37104072398190047,0.04524886877828054,line_breaking,Theo Hernandez (France)
Óscar Duarte,Costa Rica,63,0.2295221536651352,14.459895680903518,1.1111111111111112,1.7413686878640016,26.00978972799423,0.031746031746031744,0.0,0.015873015873015872,0.0,0.19047619047619047,0.25396825396825395,0.3333333333333333,0.2222222222222222,line_breaking,Óscar Duarte (Costa Rica)
Simon Kjaer,Denmark,33,0.432721642167552,14.279814191529216,1.121212121212121,2.424705031304474,31.264662139118435,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.30303030303030304,0.3333333333333333,space_expanding,Simon Kjaer (Denmark)
Jawad El Yamiq,Morocco,124,0.1140576819386568,14.143152560393442,1.4435483870967742,1.7860782561602822,19.07681483284456,0.056451612903225805,0.04838709677419355,0.008064516129032258,0.0,0.3790322580645161,0.2661290322580645,0.23387096774193547,0.12096774193548387,circulatory,Jawad El Yamiq (Morocco)
Guido Rodríguez,Argentina,32,0.44186686834795946,14.139739787134703,1.1875,1.4694304695227554,46.150830221590965,0.0,0.0,0.0,0.0,0.0625,0.53125,0.28125,0.125,destabilising,Guido Rodríguez (Argentina)
Alex Sandro,Brazil,93,0.14661366306308954,13.635070664867328,1.2365591397849462,1.1463493589543678,29.531391140273705,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.3333333333333333,0.2903225806451613,0.34408602150537637,0.03225806451612903,line_breaking,Alex Sandro (Brazil)
Diego Godin,Uruguay,78,0.17032853039671833,13.285625370944029,1.0128205128205128,2.0007332006653686,22.32386866958043,0.0,0.01282051282051282,0.01282051282051282,0.0,0.34615384615384615,0.38461538461538464,0.15384615384615385,0.11538461538461539,destabilising,Diego Godin (Uruguay)
Aymeric Laporte,Spain,371,0.03578986836354111,13.278041162873752,1.0566037735849056,1.4709149474764331,21.504285216858612,0.07277628032345014,0.016172506738544475,0.013477088948787063,0.0026954177897574125,0.38005390835579517,0.29380053908355797,0.2371967654986523,0.0889487870619946,circulatory,Aymeric Laporte (Spain)
Noussair Mazraoui,Morocco,67,0.19623114961933955,13.14748702449575,1.1492537313432836,1.23249309647557,29.031764286295807,0.08955223880597014,0.07462686567164178,0.11940298507462686,0.0,0.23880597014925373,0.34328358208955223,0.3283582089552239,0.08955223880597014,destabilising,Noussair Mazraoui (Morocco)
Montassar Talbi,Tunisia,116,0.11308530672992557,13.117895580671366,1.4051724137931034,1.9517588236602093,15.938520574451395,0.07758620689655173,0.008620689655172414,0.0,0.0,0.35344827586206895,0.20689655172413793,0.19827586206896552,0.2413793103448276,circulatory,Montassar Talbi (Tunisia)
Hassan Tambakti,Saudi Arabia,31,0.4227200943759495,13.104322925654435,2.225806451612903,2.56644905948431,24.0451327507331,0.03225806451612903,0.03225806451612903,0.0,0.0,0.12903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,destabilising,Hassan Tambakti (Saudi Arabia)
Dayot Upamecano,France,283,0.04574332652571368,12.945361406776971,1.4063604240282686,1.3773832759372393,18.64351222229361,0.08480565371024736,0.038869257950530034,0.045936395759717315,0.01060070671378092,0.4134275618374558,0.24381625441696114,0.24734982332155478,0.09540636042402827,circulatory,Dayot Upamecano (France)
In-beom Hwang,South Korea,163,0.07869558751037357,12.827380764190892,-0.11042944785276074,1.8064861895877364,26.18354713050753,0.0736196319018405,0.03067484662576687,0.03067484662576687,0.0,0.25153374233128833,0.3128834355828221,0.19631901840490798,0.2392638036809816,destabilising,In-beom Hwang (South Korea)
