passer_name,receiver_name,team_name,duo_passes,duo_mean_tiv,duo_total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,passer_n_passes,passer_mean_tiv,passer_total_tiv,delta_tiv,duo_label,is_stable_duo
Ali Abdi,Anis Slimane,Tunisia,2,0.6550375280755254,1.3100750561510508,0.5,1.8169110168476148,83.6566965000001,0.5,0.0,0.0,0.0,46,-0.3289389690597821,-15.131192576749976,0.9839764971353075,Ali Abdi → Anis Slimane,False
Moises Caicedo,Michael Estrada,Ecuador,3,0.9586592222167845,2.8759776666503534,6.0,0.7388250561579897,68.55701386363624,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,98,-0.025060389303918473,-2.4559181517840103,0.983719611520703,Moises Caicedo → Michael Estrada,False
Rodrygo,Fabinho,Brazil,2,0.3905222356406645,0.781044471281329,-1.0,1.3216265758268702,70.48126520454534,0.0,0.0,0.0,0.0,63,-0.5923289713297093,-37.31672519377169,0.9828512069703739,Rodrygo → Fabinho,False
Hirving Lozano,Henry Martín,Mexico,3,0.765290514642425,2.295871543927275,2.3333333333333335,1.5079704659550117,75.64731251515157,0.0,0.3333333333333333,0.3333333333333333,0.0,28,-0.2173961346590075,-6.0870917704522105,0.9826866493014326,Hirving Lozano → Henry Martín,False
Mark-Anthony Kaye,Alphonso Davies,Canada,1,1.047498195982352,1.047498195982352,2.0,4.738360382148145,37.680337500000135,0.0,0.0,0.0,0.0,33,0.06570356126958937,2.1682175218964495,0.9817946347127626,Mark-Anthony Kaye → Alphonso Davies,False
Raphinha,Neymar,Brazil,5,0.849238504297445,4.246192521487225,3.8,2.204392365432975,34.179277509090824,0.0,0.0,0.2,0.2,81,-0.11939828435229888,-9.67126103253621,0.9686367886497438,Raphinha → Neymar,False
Alidu Seidu,Inaki Williams,Ghana,2,0.858697032633519,1.717394065267038,4.0,3.4500939651002556,15.7541390454543,0.0,0.0,0.0,0.0,41,-0.1053780097530182,-4.320498399873746,0.9640750423865372,Alidu Seidu → Inaki Williams,False
Selim Amallah,Youssef En-Nesyri,Morocco,2,0.787836386863322,1.575672773726644,2.5,1.3524128188068572,78.97453324999996,0.0,0.0,0.5,0.0,48,-0.1756244523903574,-8.429973714737155,0.9634608392536794,Selim Amallah → Youssef En-Nesyri,False
In-beom Hwang,Gue-sung Cho,South Korea,4,1.0381230908695636,4.152492363478254,6.25,1.630714473120661,55.87580360227261,0.0,0.0,0.0,0.0,163,0.07869558751037357,12.827380764190892,0.95942750335919,In-beom Hwang → Gue-sung Cho,False
Enzo Fernandez,Papu Gómez,Argentina,3,0.9473738800091159,2.8421216400273477,3.6666666666666665,2.3318593302239887,51.60170777272746,0.0,0.0,0.0,0.0,301,-0.01196094190071458,-3.6002435121150884,0.9593348219098305,Enzo Fernandez → Papu Gómez,False
Sebastian Coates,Luis Suarez,Uruguay,3,0.8329082052887832,2.4987246158663496,9.333333333333334,1.2885868322203742,13.605719484848423,0.6666666666666666,0.6666666666666666,0.0,0.0,61,-0.1253117486672956,-7.6440166687050315,0.9582199539560787,Sebastian Coates → Luis Suarez,False
Marcos Acuña,Emiliano Martínez,Argentina,2,0.9405729753349783,1.8811459506699566,-0.5,7.5084483239274515,86.41279840909071,0.5,1.0,0.0,0.0,110,-0.008497206787974897,-0.9346927466772387,0.9490701821229532,Marcos Acuña → Emiliano Martínez,False
Ali Karimi,Sardar Azmoun,Iran,1,0.8241592248895802,0.8241592248895802,5.0,0.8941405967969394,36.893881681818115,1.0,0.0,0.0,0.0,30,-0.12242431349837692,-3.6727294049513075,0.9465835383879571,Ali Karimi → Sardar Azmoun,False
Leroy Sané,Serge Gnabry,Germany,3,0.7063559596107508,2.1190678788322526,1.6666666666666667,3.279996483142011,34.458729166666686,0.3333333333333333,0.0,0.0,0.0,43,-0.23102288317631597,-9.933983976581587,0.9373788427870668,Leroy Sané → Serge Gnabry,False
Morteza Pouraliganji,Ehsan Hajsafi,Iran,3,0.8082442897266944,2.424732869180083,4.666666666666667,0.9293588792883286,40.32058916666664,0.3333333333333333,0.0,0.0,0.0,82,-0.12739967043256342,-10.446772975470202,0.9356439601592578,Morteza Pouraliganji → Ehsan Hajsafi,False
